date,sku,product_name,category,units_sold,promo_flag
2024-11-22,SCR-WD-300,"Wood Screws 3"" Box (100ct)",Fasteners,14,0
2024-11-23,SCR-WD-300,"Wood Screws 3"" Box (100ct)",Fasteners,14,0
2024-11-24,SCR-WD-300,"Wood Screws 3"" Box (100ct)",Fasteners,22,0
2024-11-25,SCR-WD-300,"Wood Screws 3"" Box (100ct)",Fasteners,16,0
2024-11-26,SCR-WD-300,"Wood Screws 3"" Box (100ct)",Fasteners,0,0
2024-11-27,SCR-WD-300,"Wood Screws 3"" Box (100ct)",Fasteners,18,0
2024-11-28,SCR-WD-300,"Wood Screws 3"" Box (100ct)",Fasteners,20,0
2024-11-29,SCR-WD-300,"Wood Screws 3"" Box (100ct)",Fasteners,22,0
2024-11-30,SCR-WD-300,"Wood Screws 3"" Box (100ct)",Fasteners,11,0
2024-12-01,SCR-WD-300,"Wood Screws 3"" Box (100ct)",Fasteners,15,0
2024-12-02,SCR-WD-300,"Wood Screws 3"" Box (100ct)",Fasteners,10,0
2024-12-03,SCR-WD-300,"Wood Screws 3"" Box (100ct)",Fasteners,12,0
2024-12-04,SCR-WD-300,"Wood Screws 3"" Box (100ct)",Fasteners,8,0
2024-12-05,SCR-WD-300,"Wood Screws 3"" Box (100ct)",Fasteners,10,0
2024-12-06,SCR-WD-300,"Wood Screws 3"" Box (100ct)",Fasteners,12,0
2024-12-07,SCR-WD-300,"Wood Screws 3"" Box (100ct)",Fasteners,21,0
2024-12-08,SCR-WD-300,"Wood Screws 3"" Box (100ct)",Fasteners,17,0
2024-12-09,SCR-WD-300,"Wood Screws 3"" Box (100ct)",Fasteners,0,0
2024-12-10,SCR-WD-300,"Wood Screws 3"" Box (100ct)",Fasteners,10,0
2024-12-11,SCR-WD-300,"Wood Screws 3"" Box (100ct)",Fasteners,18,0
2024-12-12,SCR-WD-300,"Wood Screws 3"" Box (100ct)",Fasteners,17,0
2024-12-13,SCR-WD-300,"Wood Screws 3"" Box (100ct)",Fasteners,13,0
2024-12-14,SCR-WD-300,"Wood Screws 3"" Box (100ct)",Fasteners,27,0
2024-12-15,SCR-WD-300,"Wood Screws 3"" Box (100ct)",Fasteners,22,0
2024-12-16,SCR-WD-300,"Wood Screws 3"" Box (100ct)",Fasteners,23,0
2024-12-17,SCR-WD-300,"Wood Screws 3"" Box (100ct)",Fasteners,15,0
2024-12-18,SCR-WD-300,"Wood Screws 3"" Box (100ct)",Fasteners,16,0
2024-12-19,SCR-WD-300,"Wood Screws 3"" Box (100ct)",Fasteners,21,0
2024-12-20,SCR-WD-300,"Wood Screws 3"" Box (100ct)",Fasteners,12,0
2024-12-21,SCR-WD-300,"Wood Screws 3"" Box (100ct)",Fasteners,26,0
2024-12-22,SCR-WD-300,"Wood Screws 3"" Box (100ct)",Fasteners,13,0
2024-12-23,SCR-WD-300,"Wood Screws 3"" Box (100ct)",Fasteners,20,0
2024-12-24,SCR-WD-300,"Wood Screws 3"" Box (100ct)",Fasteners,12,0
2024-12-25,SCR-WD-300,"Wood Screws 3"" Box (100ct)",Fasteners,19,0
2024-12-26,SCR-WD-300,"Wood Screws 3"" Box (100ct)",Fasteners,12,0
2024-12-27,SCR-WD-300,"Wood Screws 3"" Box (100ct)",Fasteners,13,0
2024-12-28,SCR-WD-300,"Wood Screws 3"" Box (100ct)",Fasteners,19,0
2024-12-29,SCR-WD-300,"Wood Screws 3"" Box (100ct)",Fasteners,13,0
2024-12-30,SCR-WD-300,"Wood Screws 3"" Box (100ct)",Fasteners,17,0
2024-12-31,SCR-WD-300,"Wood Screws 3"" Box (100ct)",Fasteners,18,0
2025-01-01,SCR-WD-300,"Wood Screws 3"" Box (100ct)",Fasteners,11,0
2025-01-02,SCR-WD-300,"Wood Screws 3"" Box (100ct)",Fasteners,11,0
2025-01-03,SCR-WD-300,"Wood Screws 3"" Box (100ct)",Fasteners,12,0
2025-01-04,SCR-WD-300,"Wood Screws 3"" Box (100ct)",Fasteners,14,0
2025-01-05,SCR-WD-300,"Wood Screws 3"" Box (100ct)",Fasteners,26,0
2025-01-06,SCR-WD-300,"Wood Screws 3"" Box (100ct)",Fasteners,10,0
2025-01-07,SCR-WD-300,"Wood Screws 3"" Box (100ct)",Fasteners,16,0
2025-01-08,SCR-WD-300,"Wood Screws 3"" Box (100ct)",Fasteners,12,0
2025-01-09,SCR-WD-300,"Wood Screws 3"" Box (100ct)",Fasteners,19,0
2025-01-10,SCR-WD-300,"Wood Screws 3"" Box (100ct)",Fasteners,15,0
2025-01-11,SCR-WD-300,"Wood Screws 3"" Box (100ct)",Fasteners,16,0
2025-01-12,SCR-WD-300,"Wood Screws 3"" Box (100ct)",Fasteners,19,0
2025-01-13,SCR-WD-300,"Wood Screws 3"" Box (100ct)",Fasteners,16,0
2025-01-14,SCR-WD-300,"Wood Screws 3"" Box (100ct)",Fasteners,19,0
2025-01-15,SCR-WD-300,"Wood Screws 3"" Box (100ct)",Fasteners,15,0
2025-01-16,SCR-WD-300,"Wood Screws 3"" Box (100ct)",Fasteners,18,0
2025-01-17,SCR-WD-300,"Wood Screws 3"" Box (100ct)",Fasteners,14,0
